zip_code,wh_indicator
27302,1
98421,1
77535,1
75115,1
78130,1
18517,1
44720,1
3106,1
27302,1
28273,1
39401,1
55438,1
48193,1
21742,1
66106,1
46140,1
60484,1
30180,1
33801,1
32226,1
80538,1
91761,1
95776,1
85326,1
72143,1
75227,1
38111,1
18372,1
28027,1
46327,1
61008,1
30288,1
91706,1
91752,1
92324,1
72712,1
23185,1
77520,1
66546,1
60421,1
30458,1
91752,1
36544,1
30117,1
962,1
75241,1
30253,1
74464,1
74465,1
72756,1
72757,1
72758,1
76712,1
29303,1
12095,1
89030,1
46140,1
72712,1
21795,1
31794,1
93230,1
72716,1
72756,1
75247,1
72701,1
47933,1
78045,1
60443,1
33611,1
76177,1
38111,1
18015,1
10472,1
40165,1
46123,1
30349,1
30117,1
33897,1
92337,1
91708,1
72721,1
72903,1
84737,1
75801,1
29360,1
13459,1
46135,1
72712,1
72716,1
35055,1
72712,1
72143,1
85326,1
92307,1
93257,1
96080,1
80538,1
19977,1
32615,1
34602,1
34981,1
31533,1
30241,1
52641,1
61362,1
47274,1
66067,1
42240,1
70570,1
49036,1
65559,1
39601,1
28348,1
28150,1
3077,1
13403,1
43123,1
97838,1
18466,1
16881,1
37809,1
78130,1
75803,1
79072,1
76266,1
77474,1
84029,1
22841,1
23885,1
53916,1
54751,1
36010,1
36801,1
72830,1
85122,1
34269,1
32063,1
33881,1
30656,1
62450,1
61081,1
46933,1
40741,1
70455,1
4240,1
64701,1
38652,1
69101,1
87031,1
89434,1
12095,1
43160,1
43952,1
74051,1
73075,1
15522,1
17901,1
29728,1
37160,1
76033,1
77357,1
76504,1
84307,1
22942,1
98930,1
54660,1
82009,1
95341,1
80019,1
92507,1
46706,1
65270,1
27537,1
75160,1
56001,1
27302,1
92335,1